year,fest0,fest1,yoshino,kwanzan,buds_green,florets_visible,florets_extended,peducle_elongated,puffy_white
1946,,,23-Mar,2-Apr
1947,12-Apr,13-Apr,12-Apr,27-Apr
1948,10-Apr,11-Apr,28-Mar,10-Apr
1949,2-Apr,3-Apr,29-Mar,16-Apr
1950,,,9-Apr,29-Apr
1951,7-Apr,8-Apr,6-Apr,25-Apr
1952,5-Apr,6-Apr,9-Apr,21-Apr
1953,11-Apr,12-Apr,27-Mar,14-Apr
1954,3-Apr,4-Apr,6-Apr,19-Apr
1955,2-Apr,3-Apr,2-Apr,19-Apr
1956,7-Apr,8-Apr,6-Apr,28-Apr
1957,6-Apr,7-Apr,8-Apr,23-Apr
1958,29-Mar,30-Mar,18-Apr,26-Apr
1959,7-Apr,12-Apr,6-Apr,20-Apr
1960,5-Apr,10-Apr,14-Apr,25-Apr
1961,4-Apr,9-Apr,2-Apr,29-Apr
1962,3-Apr,8-Apr,7-Apr,29-Apr
1963,2-Apr,7-Apr,3-Apr,18-Apr
1964,7-Apr,12-Apr,11-Apr,26-Apr
1965,6-Apr,11-Apr,15-Apr,2-May
1966,12-Apr,17-Apr,5-Apr,17-Apr
1967,4-Apr,9-Apr,6-Apr,19-Apr
1968,1-Apr,7-Apr,30-Mar,
1969,8-Apr,13-Apr,9-Apr,
1970,7-Apr,12-Apr,16-Apr,
1971,30-Mar,4-Apr,8-Apr,
1972,3-Apr,8-Apr,11-Apr,
1973,6-Apr,13-Apr,11-Apr,
1974,30-Mar,5-Apr,3-Apr,
1975,31-Mar,5-Apr,3-Apr,19-Apr
1976,5-Apr,10-Apr,23-Mar,12-Apr
1977,28-Mar,2-Apr,26-Mar,10-Apr
1978,3-Apr,8-Apr,12-Apr,23-Apr
1979,2-Apr,7-Apr,2-Apr,15-Apr
1980,24-Mar,29-Mar,6-Apr,27-Apr
1981,30-Mar,4-Apr,3-Apr,28-Apr
1982,28-Mar,3-Apr,7-Apr,26-Apr
1983,4-Apr,10-Apr,7-Apr,11-Apr
1984,1-Apr,7-Apr,3-Apr,13-Apr
1985,7-Apr,13-Apr,7-Apr,15-Apr
1986,6-Apr,12-Apr,2-Apr,14-Apr
1987,5-Apr,11-Apr,28-Mar,7-Apr
1988,3-Apr,10-Apr,31-Mar,9-Apr
1989,2-Apr,9-Apr,29-Mar,6-Apr
1990,1-Apr,8-Apr,15-Mar,1-Apr
1991,31-Mar,7-Apr,29-Mar,8-Apr
1992,5-Apr,12-Apr,7-Apr,17-Apr,7-Mar,15-Mar,23-Mar,31-Mar,1-Apr
1993,28-Mar,4-Apr,11-Apr,30-Apr,15-Mar,22-Mar,28-Mar,2-Apr,5-Apr
1994,3-Apr,10-Apr,5-Apr,18-Apr,8-Mar,20-Mar,25-Mar,29-Mar,1-Apr
1995,26-Mar,9-Apr,2-Apr,15-Apr,8-Mar,17-Mar,20-Mar,22-Mar,27-Mar
1996,31-Mar,14-Apr,4-Apr,22-Apr,29-Feb,15-Mar,18-Mar,25-Mar,30-Mar
1997,30-Mar,13-Apr,26-Mar,8-Apr,21-Feb,2-Mar,10-Mar,13-Mar,20-Mar
1998,29-Mar,12-Apr,27-Mar,5-Apr,13-Feb,1-Mar,8-Mar,10-Mar,23-Mar
1999,28-Mar,11-Apr,5-Apr,20-Apr,16-Mar,22-Mar,26-Mar,30-Mar,1-Apr
2000,26-Mar,9-Apr,17-Mar,10-Apr,29-Feb,8-Mar,9-Mar,10-Mar,14-Mar
2001,25-Mar,8-Apr,6-Apr,17-Apr,26-Feb,11-Mar,20-Mar,25-Mar,30-Mar
2002,23-Mar,8-Apr,2-Apr,17-Apr,7-Mar,14-Mar,18-Mar,20-Mar,27-Mar
2003,22-Mar,7-Apr,2-Apr,18-Apr,17-Mar,23-Mar,25-Mar,27-Mar,29-Mar
2004,27-Mar,11-Apr,31-Mar,18-Apr,4-Mar,12-Mar,15-Mar,22-Mar,27-Mar
2005,26-Mar,10-Apr,9-Apr,20-Apr,7-Mar,22-Mar,31-Mar,3-Apr,4-Apr
2006,25-Mar,9-Apr,30-Mar,17-Apr,28-Feb,13-Mar,14-Mar,16-Mar,22-Mar
2007,31-Mar,15-Apr,1-Apr,20-Apr,5-Mar,20-Mar,25-Mar,27-Mar,28-Mar
2008,29-Mar,13-Apr,29-Mar,18-Apr,19-Feb,11-Mar,17-Mar,19-Mar,24-Mar
2009,28-Mar,12-Apr,1-Apr,19-Apr,8-Mar,12-Mar,18-Mar,23-Mar,27-Mar
2010,27-Mar,11-Apr,31-Mar,7-Apr,14-Mar,19-Mar,21-Mar,23-Mar,26-Mar
2011,26-Mar,10-Apr,29-Mar,16-Apr,28-Feb,9-Mar,16-Mar,19-Mar,22-Mar
2012,20-Mar,27-Apr,20-Mar,30-Mar